Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,3329
design__instance__area,39060.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0014828445855528116
power__switching__total,0.0008791686850599945
power__leakage__total,0.0000012750258520100033
power__total,0.0023632883094251156
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.35597159560924546
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.33359244089089185
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.08557765849294548
timing__setup__ws__corner:nom_fast_1p32V_m40C,12.350194105848
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.085578
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.753996
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.40069043661631104
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.34682796505328684
timing__hold__ws__corner:nom_slow_1p08V_125C,0.659296802479883
timing__setup__ws__corner:nom_slow_1p08V_125C,7.496720789670573
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.659297
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.549358
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3732932402181855
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.33995590638110695
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2888840359805529
timing__setup__ws__corner:nom_typ_1p20V_25C,10.546063876239439
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.288884
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.217918
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.35597159560924546
clock__skew__worst_setup,0.33359244089089185
timing__hold__ws,0.08557765849294548
timing__setup__ws,7.496720789670573
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.085578
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.549358
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 210.38 229.1
design__core__bbox,5.76 15.12 204.48 211.68
design__io,45
design__die__area,48198.1
design__core__area,39060.4
design__instance__count__stdcell,1289
design__instance__area__stdcell,21645.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.554162
design__instance__utilization__stdcell,0.554162
design__rows,52
design__rows:CoreSite,52
design__sites,21528
design__sites:CoreSite,21528
design__instance__count__class:inverter,25
design__instance__area__class:inverter,136.08
design__instance__count__class:sequential_cell,146
design__instance__area__class:sequential_cell,7152.36
design__instance__count__class:multi_input_combinational_cell,757
design__instance__area__class:multi_input_combinational_cell,8529.49
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,43
design__io__hpwl,2784334
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1144.64
design__instance__displacement__mean,0.888
design__instance__displacement__max,10.98
route__wirelength__estimated,35928.4
design__violations,0
design__instance__count__class:timing_repair_buffer,298
design__instance__area__class:timing_repair_buffer,3877.37
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,76.2048
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,189
global_route__vias,8142
global_route__wirelength,58982
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1294
route__net__special,2
route__drc_errors__iter:0,395
route__wirelength__iter:0,40323
route__drc_errors__iter:1,178
route__wirelength__iter:1,40058
route__drc_errors__iter:2,185
route__wirelength__iter:2,40033
route__drc_errors__iter:3,5
route__wirelength__iter:3,39941
route__drc_errors__iter:4,0
route__wirelength__iter:4,39942
route__drc_errors,0
route__wirelength,39942
route__vias,7798
route__vias__singlecut,7798
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,474.185
design__instance__count__class:fill_cell,2040
design__instance__area__class:fill_cell,17414.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,17
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
